School_id,Student_id,Section_id
13K123,100095233,709
13K123,100095233,748
13K123,100095233,805
13K123,100095233,844
13K123,100095233,865
13K123,100095233,913
02M800,101565758,600
02M800,101565758,640
02M800,101565758,667
02M800,101565758,681
02M800,101565758,705
02M800,101565758,746
02M800,101565758,791
02M800,101565758,842
02M800,101565758,910
02M800,101565758,956
02M800,106078142,586
02M800,106078142,609
02M800,106078142,643
02M800,106078142,684
02M800,106078142,691
02M800,106078142,713
02M800,106078142,752
02M800,106078142,826
02M800,106078142,861
02M800,106078142,869
02M800,106078142,871
02M800,106078142,941
02M800,106078142,957
13K123,106091540,722
13K123,106091540,767
13K123,106091540,812
13K123,106091540,848
13K123,106091540,885
13K123,106091540,919
02M800,106867300,586
02M800,106867300,606
02M800,106867300,645
02M800,106867300,684
02M800,106867300,690
02M800,106867300,712
02M800,106867300,753
02M800,106867300,827
02M800,106867300,861
02M800,106867300,867
02M800,106867300,942
02M800,106867300,950
27Q321,107368591,595
27Q321,107368591,630
27Q321,107368591,666
27Q321,107368591,677
27Q321,107368591,743
27Q321,107368591,788
27Q321,107368591,840
27Q321,107368591,906
27Q321,107368591,940
27Q321,107368591,947
02M800,108028995,599
02M800,108028995,640
02M800,108028995,669
02M800,108028995,703
02M800,108028995,745
02M800,108028995,790
02M800,108028995,825
02M800,108028995,842
02M800,108028995,909
02M800,108028995,949
13K123,109071891,729
13K123,109071891,774
13K123,109071891,819
13K123,109071891,855
13K123,109071891,892
13K123,109071891,926
27Q321,109999627,589
27Q321,109999627,632
27Q321,109999627,658
27Q321,109999627,735
27Q321,109999627,780
27Q321,109999627,797
27Q321,109999627,832
27Q321,109999627,898
27Q321,109999627,932
27Q321,109999627,953
02M800,112258136,583
02M800,112258136,609
02M800,112258136,643
02M800,112258136,646
02M800,112258136,682
02M800,112258136,688
02M800,112258136,714
02M800,112258136,750
02M800,112258136,826
02M800,112258136,861
02M800,112258136,867
02M800,112258136,941
02M800,112258136,950
02M800,114061609,600
02M800,114061609,640
02M800,114061609,668
02M800,114061609,705
02M800,114061609,707
02M800,114061609,745
02M800,114061609,790
02M800,114061609,841
02M800,114061609,907
02M800,114061609,948
02M800,114061609,956
13K123,114188213,727
13K123,114188213,772
13K123,114188213,817
13K123,114188213,853
13K123,114188213,890
13K123,114188213,924
27Q321,114766758,593
27Q321,114766758,634
27Q321,114766758,665
